Id,date,sessions_per_day,energy_per_day_kWh,avg_duration_min,avg_power_kW_day,dow,is_weekend,month,year,week,CH_SPEED,CH_TYPE,CON_TYPE,CP_CHARGE,USAGE_,OUTPUT1_kW,OUTPUT2_kW,lon,lat
50245,2018-09-11,8,80.74,25,29.115858920491274,Di,FALSE,Sep,2018,37,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-12,2,14.16,37,15.376428571428571,Mi,FALSE,Sep,2018,37,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-13,3,36.17,20,35.87625795257374,Do,FALSE,Sep,2018,37,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-14,3,45.67,27.333333333333332,34.62279670975323,Fr,FALSE,Sep,2018,37,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-15,3,38.62,33,22.04971250971251,Sa,FALSE,Sep,2018,37,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-16,3,20.01,26.333333333333332,16.9098814229249,So,FALSE,Sep,2018,37,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-17,4,16.19,13.75,20.41,Mo,FALSE,Sep,2018,38,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-18,3,31.230000000000004,32.333333333333336,25.498,Di,FALSE,Sep,2018,38,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-19,4,46.302,31.25,20.5901747311828,Mi,FALSE,Sep,2018,38,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-20,5,42.2,23,26.339822695035462,Do,FALSE,Sep,2018,38,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-21,2,25.051000000000002,46.5,16.40020833333333,Fr,FALSE,Sep,2018,38,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-22,7,56.64,29.142857142857142,14.689940247845339,Sa,FALSE,Sep,2018,38,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-23,3,27.55,38,15.60095238095238,So,FALSE,Sep,2018,38,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-24,3,55.54,30,37.53977272727273,Mo,FALSE,Sep,2018,39,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-25,5,30.311,19.2,20.636712322160598,Di,FALSE,Sep,2018,39,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-26,5,62.552,24.4,32.06786626139817,Mi,FALSE,Sep,2018,39,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-09-27,2,24.25,21.5,34.125,Do,FALSE,Sep,2018,39,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
